     (1) Ceres                           1801 01 01  Palermo                  Piazzi, G.
     (2) Pallas                          1802 03 28  Bremen                   Olbers, H. W.
     (3) Juno                            1804 09 01  Lilienthal               Harding, K.
     (4) Vesta                           1807 03 29  Bremen                   Olbers, H. W.
     (5) Astraea                         1845 12 08  Driesen                  Hencke, K. L.
     (6) Hebe                            1847 07 01  Driesen                  Hencke, K. L.
     (7) Iris                            1847 08 13  London                   Hind, J. R.
     (8) Flora                           1847 10 18  London                   Hind, J. R.
     (9) Metis                           1848 04 25  Markree                  Graham, A. 
    (10) Hygiea                          1849 04 12  Naples                   de Gasparis, A.
    (11) Parthenope                      1850 05 11  Naples                   de Gasparis, A.
    (12) Victoria                        1850 09 13  London                   Hind, J. R.
    (13) Egeria                          1850 11 02  Naples                   de Gasparis, A.
    (14) Irene                           1851 05 19  London                   Hind, J. R.
    (15) Eunomia                         1851 07 29  Naples                   de Gasparis, A.
    (16) Psyche                          1852 03 17  Naples                   de Gasparis, A.
    (17) Thetis                          1852 04 17  Düsseldorf               Luther, R.
    (18) Melpomene                       1852 06 24  London                   Hind, J. R.
    (19) Fortuna                         1852 08 22  London                   Hind, J. R.
    (20) Massalia                        1852 09 19  Naples                   de Gasparis, A.
    (21) Lutetia                         1852 11 15  Paris                    Goldschmidt, H.
    (22) Kalliope                        1852 11 16  London                   Hind, J. R.
    (23) Thalia                          1852 12 15  London                   Hind, J. R.
    (24) Themis                          1853 04 05  Naples                   de Gasparis, A.
    (25) Phocaea                         1853 04 06  Marseilles               Chacornac, J.
    (26) Proserpina                      1853 05 05  Düsseldorf               Luther, R.
    (27) Euterpe                         1853 11 08  London                   Hind, J. R.
    (28) Bellona                         1854 03 01  Düsseldorf               Luther, R.
    (29) Amphitrite                      1854 03 01  London                   Marth, A.
    (30) Urania                          1854 07 22  London                   Hind, J. R.
    (31) Euphrosyne                      1854 09 01  Washington               Ferguson, J.
    (32) Pomona                          1854 10 26  Paris                    Goldschmidt, H.
    (33) Polyhymnia                      1854 10 28  Paris                    Chacornac, J.
    (34) Circe                           1855 04 06  Paris                    Chacornac, J.
    (35) Leukothea                       1855 04 19  Düsseldorf               Luther, R.
    (36) Atalante                        1855 10 05  Paris                    Goldschmidt, H.
    (37) Fides                           1855 10 05  Düsseldorf               Luther, R.
    (38) Leda                            1856 01 12  Paris                    Chacornac, J.
    (39) Laetitia                        1856 02 08  Paris                    Chacornac, J.
    (40) Harmonia                        1856 03 31  Paris                    Goldschmidt, H.
    (41) Daphne                          1856 05 22  Paris                    Goldschmidt, H.
    (42) Isis                            1856 05 23  Oxford                   Pogson, N. R.
    (43) Ariadne                         1857 04 15  Oxford                   Pogson, N. R.
    (44) Nysa                            1857 05 27  Paris                    Goldschmidt, H.
    (45) Eugenia                         1857 06 27  Paris                    Goldschmidt, H.
    (46) Hestia                          1857 08 16  Oxford                   Pogson, N. R.
    (47) Aglaja                          1857 09 15  Düsseldorf               Luther, R.
    (48) Doris                           1857 09 19  Paris                    Goldschmidt, H.
    (49) Pales                           1857 09 19  Paris                    Goldschmidt, H.
    (50) Virginia                        1857 10 04  Washington               Ferguson, J.
    (51) Nemausa                         1858 01 22  Nîmes                    Laurent, J. J. P.
    (52) Europa                          1858 02 04  Paris                    Goldschmidt, H.
    (53) Kalypso                         1858 04 04  Düsseldorf               Luther, R.
    (54) Alexandra                       1858 09 10  Paris                    Goldschmidt, H.
    (55) Pandora                         1858 09 10  Albany                   Searle, G.
    (56) Melete                          1857 09 09  Paris                    Goldschmidt, H.
    (57) Mnemosyne                       1859 09 22  Düsseldorf               Luther, R.
    (58) Concordia                       1860 03 24  Düsseldorf               Luther, R.
    (59) Elpis                           1860 09 12  Paris                    Chacornac, J.
    (60) Echo                            1860 09 14  Washington               Ferguson, J.
    (61) Danaë                           1860 09 09  Paris                    Goldschmidt, H.
    (62) Erato                           1860 09 14  Berlin                   Lesser, O., Forster, W.
    (63) Ausonia                         1861 02 10  Naples                   de Gasparis, A.
    (64) Angelina                        1861 03 04  Marseilles               Tempel, E. W.
    (65) Cybele                          1861 03 08  Marseilles               Tempel, E. W.
    (66) Maja                            1861 04 09  Cambridge                Tuttle, H. P.
    (67) Asia                            1861 04 17  Madras                   Pogson, N. R.
    (68) Leto                            1861 04 29  Düsseldorf               Luther, R.
    (69) Hesperia                        1861 04 29  Milan                    Schiaparelli, G.
    (70) Panopaea                        1861 05 05  Paris                    Goldschmidt, H.
    (71) Niobe                           1861 08 13  Düsseldorf               Luther, R.
    (72) Feronia                         1861 05 29  Clinton                  Peters, C. H. F.
    (73) Klytia                          1862 04 07  Cambridge                Tuttle, H. P.
    (74) Galatea                         1862 08 29  Marseilles               Tempel, E. W.
    (75) Eurydike                        1862 09 22  Clinton                  Peters, C. H. F.
    (76) Freia                           1862 10 21  Copenhagen               d'Arrest, H.
    (77) Frigga                          1862 11 12  Clinton                  Peters, C. H. F.
    (78) Diana                           1863 03 15  Düsseldorf               Luther, R.
    (79) Eurynome                        1863 09 14  Ann Arbor                Watson, J. C.
    (80) Sappho                          1864 05 02  Madras                   Pogson, N. R.
    (81) Terpsichore                     1864 09 30  Marseilles               Tempel, E. W.
    (82) Alkmene                         1864 11 27  Düsseldorf               Luther, R.
    (83) Beatrix                         1865 04 26  Naples                   de Gasparis, A.
    (84) Klio                            1865 08 25  Düsseldorf               Luther, R.
    (85) Io                              1865 09 19  Clinton                  Peters, C. H. F.
    (86) Semele                          1866 01 04  Berlin                   Tietjen, F.
    (87) Sylvia                          1866 05 16  Madras                   Pogson, N. R.
    (88) Thisbe                          1866 06 15  Clinton                  Peters, C. H. F.
    (89) Julia                           1866 08 06  Marseilles               Stephan, E.
    (90) Antiope                         1866 10 01  Düsseldorf               Luther, R.
    (91) Aegina                          1866 11 04  Marseilles               Stephan, E.
